INFO 2024-09-26 10:49:20,267 autoreload Watching for file changes with StatReloader
DEBUG 2024-09-26 10:49:20,267 autoreload Waiting for apps ready_event.
DEBUG 2024-09-26 10:49:20,804 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-09-26 10:49:20,809 autoreload Watching dir /home/aditya/.virtualenvs/inventory/lib/python3.8/site-packages/rest_framework/templates with glob **/*.
DEBUG 2024-09-26 10:49:20,809 autoreload Watching dir /home/aditya/Desktop/assignment/inventory_management/locale with glob **/*.mo.
DEBUG 2024-09-26 10:49:20,809 autoreload Watching dir /home/aditya/.virtualenvs/inventory/lib/python3.8/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2024-09-26 10:49:20,809 autoreload Watching dir /home/aditya/.virtualenvs/inventory/lib/python3.8/site-packages/rest_framework_simplejwt/locale with glob **/*.mo.
DEBUG 2024-09-26 10:49:20,810 autoreload Watching dir /home/aditya/Desktop/assignment/inventory_management/inventory/locale with glob **/*.mo.
DEBUG 2024-09-26 10:49:20,877 autoreload File /usr/lib/python3.8/copyreg.py first seen with mtime 1726070573.0
DEBUG 2024-09-26 10:49:20,877 autoreload File /usr/lib/python3.8/urllib/error.py first seen with mtime 1726070573.0
DEBUG 2024-09-26 10:49:20,877 autoreload File /usr/lib/python3.8/reprlib.py first seen with mtime 1726070573.0
DEBUG 2024-09-26 10:49:20,877 autoreload File /home/aditya/.virtualenvs/inventory/lib/python3.8/site-packages/django/utils/datastructures.py first seen with mtime 1727345611.234472
DEBUG 2024-09-26 10:49:20,879 autoreload File /usr/lib/python3.8/html/parser.py first seen with mtime 1726070573.0
DEBUG 2024-09-26 10:49:20,879 autoreload File /usr/lib/python3.8/contextlib.py first seen with mtime 1726070573.0
DEBUG 2024-09-26 10:49:20,879 autoreload File /usr/lib/python3.8/email/errors.py first seen with mtime 1726070573.0
DEBUG 2024-09-26 10:49:20,879 autoreload File /home/aditya/.virtualenvs/inventory/lib/python3.8/site-packages/django/forms/boundfield.py first seen with mtime 1727345611.2104716
DEBUG 2024-09-26 10:49:20,880 autoreload File /home/aditya/.virtualenvs/inventory/lib/python3.8/site-packages/django/test/testcases.py first seen with mtime 1727345611.234472
DEBUG 2024-09-26 10:49:20,880 autoreload File /home/aditya/.virtualenvs/inventory/lib/python3.8/site-packages/django/middleware/csrf.py first seen with mtime 1727345611.226472
DEBUG 2024-09-26 10:49:20,880 autoreload File /usr/lib/python3.8/stat.py first seen with mtime 1726070573.0
DEBUG 2024-09-26 10:49:20,882 autoreload File /home/aditya/.virtualenvs/inventory/lib/python3.8/site-packages/rest_framework_simplejwt/exceptions.py first seen with mtime 1727345613.6305242
DEBUG 2024-09-26 10:49:20,882 autoreload File /usr/lib/python3.8/asyncio/base_tasks.py first seen with mtime 1726070573.0
DEBUG 2024-09-26 10:49:20,882 autoreload File /usr/lib/python3.8/email/mime/nonmultipart.py first seen with mtime 1726070573.0
DEBUG 2024-09-26 10:49:20,882 autoreload File /home/aditya/.virtualenvs/inventory/lib/python3.8/site-packages/rest_framework/checks.py first seen with mtime 1727345613.250516
DEBUG 2024-09-26 10:49:20,883 autoreload File /home/aditya/.virtualenvs/inventory/lib/python3.8/site-packages/django/db/models/functions/text.py first seen with mtime 1727345611.2064714
DEBUG 2024-09-26 10:49:20,883 autoreload File /home/aditya/.virtualenvs/inventory/lib/python3.8/site-packages/django/contrib/messages/__init__.py first seen with mtime 1727345611.038468
DEBUG 2024-09-26 10:49:20,883 autoreload File /home/aditya/.virtualenvs/inventory/lib/python3.8/site-packages/django/template/defaultfilters.py first seen with mtime 1727345611.226472
